@relation 'aVSDxiangliangdata_0.5_50: -C 11'

@attribute biaoqian1 numeric
@attribute biaoqian2 numeric
@attribute biaoqian3 numeric
@attribute biaoqian4 numeric
@attribute biaoqian5 numeric
@attribute biaoqian6 numeric
@attribute biaoqian7 numeric
@attribute biaoqian8 numeric
@attribute biaoqian9 numeric
@attribute biaoqian10 numeric
@attribute biaoqian11 numeric
@attribute weidu1 numeric
@attribute weidu2 numeric
@attribute weidu3 numeric
@attribute weidu4 numeric
@attribute weidu5 numeric
@attribute weidu6 numeric
@attribute weidu7 numeric
@attribute weidu8 numeric
@attribute weidu9 numeric
@attribute weidu10 numeric
@attribute weidu11 numeric
@attribute weidu12 numeric
@attribute weidu13 numeric
@attribute weidu14 numeric
@attribute weidu15 numeric
@attribute weidu16 numeric
@attribute weidu17 numeric
@attribute weidu18 numeric
@attribute weidu19 numeric
@attribute weidu20 numeric
@attribute weidu21 numeric
@attribute weidu22 numeric
@attribute weidu23 numeric
@attribute weidu24 numeric
@attribute weidu25 numeric
@attribute weidu26 numeric
@attribute weidu27 numeric
@attribute weidu28 numeric
@attribute weidu29 numeric
@attribute weidu30 numeric
@attribute weidu31 numeric
@attribute weidu32 numeric
@attribute weidu33 numeric
@attribute weidu34 numeric
@attribute weidu35 numeric
@attribute weidu36 numeric
@attribute weidu37 numeric
@attribute weidu38 numeric
@attribute weidu39 numeric
@attribute weidu40 numeric
@attribute weidu41 numeric
@attribute weidu42 numeric
@attribute weidu43 numeric
@attribute weidu44 numeric
@attribute weidu45 numeric
@attribute weidu46 numeric
@attribute weidu47 numeric
@attribute weidu48 numeric
@attribute weidu49 numeric
@attribute weidu50 numeric

@data
0,0,0,0,1,0,0,0,0,0,0,3.734728,0.133262,0.480007,-0.215093,0.08053,0.273329,-0.030372,-0.046035,-0.100552,-0.048322,-0.101171,0.213616,-0.011891,-0.067291,0.096077,-0.040884,0.013388,0.010829,0.160226,0.025762,-0.125653,0.088633,0.022959,0.029308,-0.324556,0.035368,0.105828,0.03045,0.080609,-0.075245,0.10824,0.086611,0.031571,0.139645,-0.097864,-0.079054,-0.159038,-0.102498,0.07839,0.007661,0.153123,0.042498,0.219914,0.041803,0.02051,-0.100446,0.088191,0.02687,-0.151627,0.088134
0,0,0,0,1,0,0,0,0,0,0,3.664195,0.648565,0.069701,-0.257643,-0.231438,0.162605,-0.630183,0.098956,-0.066209,-0.108745,0.15392,0.244577,-0.222391,0.026428,-0.381433,-0.215693,0.378077,0.120889,0.01907,0.19821,-0.241294,0.432485,0.178754,0.020767,-0.097862,0.040024,-0.273617,-0.16264,-0.11541,-0.066114,0.292543,0.226433,-0.15596,0.04405,-0.020765,0.068308,0.152299,0.269049,-0.075793,0.204704,0.421927,-0.174512,-0.108158,-0.175789,-0.151622,0.051815,0.047055,-0.016682,-0.059679,0.099594
1,0,0,0,0,0,0,0,0,0,0,3.370026,2.569957,0.329184,-0.170974,0.236266,0.494368,-1.076803,-0.170801,-0.428222,-0.333411,-0.137577,0.728309,-0.805925,-0.181727,-0.015267,-0.536394,0.181054,0.36364,0.113911,0.502699,-0.489522,0.933014,0.268584,-0.31391,-0.730995,0.004954,-0.87253,-0.335866,0.028065,-0.105957,-0.055704,0.740056,0.113222,0.199852,0.400748,-0.765454,0.270177,0.576801,0.044318,-0.244326,0.024181,0.496622,-0.538663,-0.008138,0.398444,0.495406,-0.133326,0.270582,-0.374163,0.017709
1,0,0,0,0,0,0,0,0,0,0,3.631423,0.951561,0.273252,0.259062,-0.191623,0.41583,-0.567349,0.16196,-0.190298,-0.281717,-0.00078,0.541833,-0.223921,0.14573,-0.131619,-0.344852,0.242581,0.221475,-0.174143,0.511763,-0.182739,0.327656,-0.006232,0.122141,0.041486,-0.034209,-0.004782,0.041913,0.088608,-0.034999,-0.283286,-0.275827,-0.085617,0.121237,0.092509,0.071104,0.292012,0.196359,-0.431946,0.180407,0.355413,-0.268213,-0.11949,-0.328875,-0.334867,0.299585,-0.064171,0.39069,0.072131,-0.143669
0,0,0,0,1,0,0,0,0,0,0,3.664553,0.580212,-0.230244,-0.254993,-0.389681,0.015868,-0.617629,0.102431,-0.062092,-0.118467,0.214284,0.204105,-0.084035,0.004091,-0.434557,-0.208806,0.347188,0.101242,0.053956,0.076902,-0.212936,0.313654,0.250473,-0.03951,-0.004565,-0.065754,-0.196089,-0.233561,-0.060776,-0.034819,0.363382,0.214258,-0.118112,-0.080732,-0.082263,0.102497,0.165388,0.202238,-0.067022,0.112097,0.34509,-0.150451,-0.097022,-0.154002,-0.163046,-0.075233,0.196743,0.180949,0.053198,-0.001875
0,1,0,0,0,0,0,0,0,0,0,3.703616,0.363127,0.463354,0.061205,0.043905,0.338192,-0.677539,0.123346,-0.073554,-0.0828,-0.033246,-0.077602,-0.209947,0.035885,-0.41061,-0.38759,0.096403,-0.255036,-0.040806,0.171439,-0.229621,0.351928,0.164394,-0.058933,-0.328917,0.13907,-0.263817,0.054444,-0.136539,-0.102115,0.283222,0.199635,-0.098075,-0.260659,0.195066,-0.058178,0.127092,0.414545,0.058542,0.045141,0.028762,0.200964,0.022398,-0.26575,-0.060181,0.608819,0.097022,0.005095,0.081162,-0.010056
0,0,0,0,1,0,0,0,0,0,0,3.613611,0.7582,0.130243,0.339247,-0.741011,-0.495602,-0.662442,0.008862,-0.172453,-0.043702,-0.948671,-1.588789,-0.356185,0.214899,0.168296,-0.202877,-0.531981,-0.38694,0.073848,0.554822,-0.258715,-0.052401,-0.264411,-0.061454,-0.185919,0.316832,0.135231,0.036831,-0.231699,-0.644402,0.070845,-0.145166,0.125944,-0.191882,0.266307,0.048888,0.288879,0.231016,0.468564,0.261711,-0.054817,-0.042082,0.260872,-0.080918,0.106234,0.275333,-0.056024,-0.019746,-0.019043,-0.259076
0,0,0,0,0,1,0,0,0,0,0,3.72928,0.144096,0.376233,-0.085018,0.223086,0.138152,-0.293037,-0.174152,0.134968,-0.160889,0.001927,0.2134,-0.311044,-0.06775,0.096631,-0.063894,0.022621,0.214294,0.196566,-0.297547,-0.058859,-0.314813,0.080524,-0.209644,-0.030986,0.263964,0.335694,0.224067,0.099925,0.386391,-0.27161,0.068012,0.110825,-0.282381,0.012011,0.047298,-0.02702,0.071102,0.332285,-0.008406,0.068821,-0.138623,-0.01429,0.014542,0.176276,-0.072584,-0.243287,-0.235401,-0.163285,0.162116
0,0,0,0,1,0,0,0,0,0,0,3.648301,0.596724,-0.096476,1.034995,0.002102,0.345213,-0.560631,0.521816,-0.070322,-0.125655,0.512408,0.102181,0.008921,0.162812,-0.57546,-0.343208,0.373182,0.061625,0.166761,0.138204,0.166054,-0.081852,-0.084076,-0.005467,0.050683,0.031028,-0.04849,0.07108,-0.115542,-0.129677,-0.147923,0.380451,-0.174485,-0.012487,0.189591,0.207093,-0.072823,-0.207031,-0.154042,-0.036426,-0.110821,-0.105341,-0.12281,0.145088,0.158859,0.361445,-0.165808,0.167479,-0.217197,-0.232299
0,0,0,0,1,0,0,0,0,0,0,3.714279,0.241252,0.138116,0.172269,-0.212734,0.001538,-0.193563,-0.033757,0.093247,-0.046998,-0.114225,0.086112,-0.236428,-0.017781,0.128935,0.043977,-0.331449,-0.156839,-0.156417,0.109854,0.18119,-0.00619,-0.085494,-0.060884,-0.05634,0.20186,-0.185894,0.042233,-0.119812,-0.460067,0.702159,0.515173,-0.166009,-0.155622,-0.198697,-0.371959,-0.409219,0.38776,-0.351743,0.105177,-0.059666,0.0622,-0.031257,-0.04519,-0.497092,0.139388,-0.016165,0.212106,-0.030754,0.056502
0,0,0,0,1,0,0,0,0,0,0,3.751374,-0.07464,0.247357,0.147494,-0.205393,-0.090145,-0.294852,0.008151,-0.03459,0.034511,-0.376806,-0.555564,-0.06875,0.081462,0.047494,-0.168819,-0.236371,-0.180683,0.139306,0.211373,-0.235621,-0.088072,-0.053626,-0.041974,-0.058358,0.045089,0.005095,-0.117838,-0.091619,-0.198075,0.074527,0.016651,0.071557,-0.139498,-0.008091,0.115594,-0.002097,-0.030916,0.018796,-0.006529,-0.049977,0.003381,0.101951,-0.126657,0.094939,0.126963,0.03309,-0.137772,0.091267,-0.189676
0,0,0,0,0,0,0,0,0,0,1,3.726002,0.122396,0.350431,0.233972,-0.178494,0.042809,-0.54683,0.067748,-0.09317,-0.046123,-0.351532,-0.658364,-0.16642,0.117016,-0.244167,-0.302525,-0.345486,-0.604228,-0.231948,-0.001689,-0.173222,0.249187,0.097606,-0.111923,-0.365142,0.000977,-0.033683,0.183179,-0.222841,-0.367206,0.093236,-0.093036,0.083498,-0.351573,0.094039,0.127675,0.270041,0.14273,0.076057,0.057155,0.00995,0.11944,0.121126,-0.126547,0.204342,0.439861,-0.070065,-0.035126,0.084635,-0.211403
1,0,0,0,0,0,0,0,0,0,0,3.615807,0.84822,-0.10525,-0.141325,-0.168397,-0.113616,-0.577127,0.240521,-0.117924,-0.098652,0.334823,-0.204743,0.128243,0.022761,-0.576725,-0.152686,0.492121,-0.047856,-0.177972,-0.130334,0.173865,0.1462,0.24788,0.240789,-0.156597,-0.04507,-0.070013,-0.074572,-0.075414,0.012366,0.146752,-0.066472,-0.088859,-0.371578,0.242826,0.379221,0.239808,0.230578,-0.036889,0.169236,-0.038497,0.397285,0.076368,-0.065249,0.108396,0.187153,-0.070029,-0.221404,-0.108885,0.070254
0,0,0,0,1,0,0,0,0,0,0,3.752662,-0.016749,0.160978,-0.011137,-0.047226,0.161081,-0.174465,-0.082029,0.023348,-0.082044,-0.002192,0.210035,-0.105853,-0.07179,0.045079,-0.012279,-0.077748,0.021231,-0.09713,0.084166,-0.130909,0.152878,-0.022003,0.291629,-0.121181,-0.052972,0.012754,-0.025758,0.132924,0.138423,-0.246565,0.038084,-0.056058,-0.014398,-0.065754,-0.214698,0.104122,-0.03221,-0.386096,0.047789,0.347153,-0.0017,-0.226954,0.101489,-0.018284,0.017035,-0.228485,0.286869,0.017399,-0.261639
0,0,0,0,0,0,0,0,0,0,1,3.747853,-0.021083,0.339573,-0.036849,0.003194,-0.001349,-0.327902,-0.07806,-0.01802,0.011203,-0.242851,-0.367007,-0.070932,-0.025173,0.064079,-0.103961,-0.28474,-0.275182,-0.078732,-0.076693,-0.122804,-0.007995,-0.010234,-0.294691,-0.014944,-0.017457,-0.041586,0.110578,-0.152846,-0.028861,-0.011151,0.019619,-0.101954,-0.094489,-0.08582,0.021285,0.036163,-0.011128,0.064261,0.022918,0.048672,0.13947,0.036179,-0.087792,0.159925,-0.03735,-0.022391,-0.026813,0.043417,-0.181286
0,0,0,0,0,0,0,0,0,0,1,3.750967,-0.054486,0.220744,0.116957,-0.186213,0.04059,-0.381871,0.03271,-0.030332,-0.042898,-0.240848,-0.456958,-0.106706,0.115186,-0.185052,-0.221932,-0.198013,-0.412097,-0.120041,0.054409,-0.171788,0.194169,0.057562,-0.030217,-0.282844,-0.020596,0.009981,0.119273,-0.152221,-0.302934,0.067355,-0.098937,0.04198,-0.281399,0.141262,0.100111,0.251445,0.106497,0.122088,0.033486,-0.021928,0.181869,0.129377,-0.118649,0.112365,0.404497,-0.073011,-0.019886,0.055539,-0.163527
0,1,0,0,0,0,0,0,0,0,0,3.737358,0.129862,0.192925,-0.095594,-0.09261,0.190341,-0.17541,-0.031467,-0.048291,-0.071696,-0.052551,0.299595,0.089316,0.021758,0.041917,-0.031253,-0.060483,0.046545,-0.094814,0.109954,-0.126441,0.19903,-0.002542,0.081826,0.187871,-0.006801,-0.087426,-0.047779,-0.06056,-0.147241,-0.090236,0.084627,0.093995,0.33449,-0.024477,-0.042218,0.228931,0.347543,-0.08645,0.24145,-0.032374,-0.232424,-0.121875,-0.048353,0.016288,-0.03374,-0.025132,0.005268,-0.135112,-0.125905
0,0,0,0,1,0,0,0,0,0,0,3.701911,0.22461,-0.044976,-0.032177,-0.452261,-0.361594,-0.323321,0.054552,-0.047047,-0.103589,-0.200226,-0.556453,-0.034426,0.106518,-0.003021,-0.176522,-0.045446,0.130869,0.348226,0.397853,-0.281201,0.090865,-0.228972,0.058183,0.092095,0.188263,-0.097988,-0.004809,-0.125853,-0.224673,0.14473,0.251679,-0.18127,-0.1987,-0.038062,-0.065041,0.143666,-0.053313,-0.12599,-0.113107,0.028846,-0.225318,0.000938,0.077851,-0.003686,-0.062475,0.172453,0.148699,-0.000037,-0.246669
0,0,0,0,1,0,0,0,0,0,0,3.757387,-0.027578,0.310057,-0.148294,-0.003988,0.094662,-0.141476,-0.060987,0.02384,-0.057381,-0.000966,0.196409,-0.140558,-0.07958,0.06645,0.011356,-0.088196,-0.028036,-0.071687,0.030289,-0.095074,0.031616,-0.079525,0.111329,-0.141953,-0.027212,-0.043046,-0.046105,0.073438,0.099454,-0.118681,0.018269,-0.014535,-0.009291,-0.123307,-0.231505,0.026984,-0.007139,-0.322394,0.088532,0.254004,0.0118,-0.10524,0.072118,0.036413,0.133376,-0.173228,0.11275,-0.014394,-0.271081
0,0,0,1,0,0,0,0,0,0,0,3.743409,0.04673,0.211982,0.018893,-0.028801,0.186897,-0.063938,-0.107579,0.156806,0.108848,-0.008131,0.251946,-0.137942,0.167316,-0.12702,0.240051,-0.027773,-0.209249,0.136551,0.066886,0.037282,-0.147402,0.046721,-0.237058,0.069676,0.087728,-0.167686,0.001959,0.112186,0.299375,-0.034048,0.209167,-0.080553,-0.0654,0.100059,-0.100132,-0.043783,-0.03204,0.189444,0.143253,-0.028,-0.127683,0.141679,-0.13679,0.096652,0.051426,-0.268727,-0.304669,0.38189,-0.018103
0,0,0,1,0,0,0,0,0,0,0,3.764575,-0.090871,0.229642,-0.100998,-0.079706,0.130242,-0.037189,-0.053707,0.139994,0.070853,-0.005426,0.17633,-0.064167,0.091629,-0.018171,0.153196,-0.04392,-0.129095,0.056648,0.059478,-0.021294,-0.030727,0.040231,0.016577,0.222286,0.068645,-0.028648,-0.024256,-0.125249,0.090632,-0.006951,-0.025873,0.214011,0.055783,0.031006,0.066604,-0.00084,-0.147882,0.010898,0.051624,-0.037481,0.258707,0.126585,0.016025,0.160467,0.135352,0.148651,0.202082,0.021393,0.013699
0,0,0,0,1,0,0,0,0,0,0,3.724087,0.20094,0.354951,-0.006663,0.126345,0.201077,-0.358756,-0.12875,0.123736,-0.154369,-0.034566,0.343981,-0.427694,-0.158265,0.181947,-0.139383,-0.07597,0.249997,0.242169,-0.182586,-0.066851,-0.123539,0.138068,-0.302445,-0.170817,0.170086,0.165836,0.299821,0.130376,0.466173,-0.300113,0.080487,0.082972,-0.289232,0.051695,-0.017242,-0.154305,0.196256,0.419094,0.019353,-0.06574,0.049072,-0.140063,-0.195261,0.201287,-0.078362,-0.104646,-0.090618,-0.138071,0.016588
1,0,0,0,0,0,0,0,0,0,0,3.562238,1.198687,0.04047,0.790735,-0.176707,0.014977,-0.045661,0.123668,0.300523,-0.12908,0.021726,0.682118,-0.816794,-0.374626,0.014603,-0.690088,-0.307815,0.577793,0.32593,-0.45514,-0.21603,-0.046458,0.103811,-0.422651,-0.334211,0.140354,0.152058,0.107354,0.410966,0.129492,-0.029441,0.102333,0.056184,-0.317894,0.201171,0.120869,0.000772,0.48023,-0.053685,0.157089,-0.588455,0.003085,-0.055223,-0.231849,-0.146902,0.509039,-0.055467,-0.061017,0.065684,-0.375231
0,0,0,0,0,0,0,0,0,0,1,3.689017,0.316343,0.340156,0.074162,-0.253455,-0.215542,-0.539791,0.003337,-0.105907,0.116759,-0.650207,-1.064276,-0.161816,0.084488,0.266027,-0.098849,-0.194129,-0.070354,0.275023,0.112729,-0.343745,0.015904,-0.045098,-0.003093,0.095847,0.059071,-0.154162,-0.252675,-0.242673,-0.142196,0.041078,-0.026371,-0.320545,-0.13094,-0.282353,-0.004945,0.088638,-0.12163,0.214696,-0.055633,0.214319,-0.015573,0.043663,-0.169505,0.292793,-0.202328,-0.289698,-0.140924,0.055189,-0.147535
